date_to,PM10,PM2.5
2026-04-21 22:00,8,6
2026-04-21 23:00,7,6
2026-04-22 00:00,6,4
2026-04-22 01:00,6,5
2026-04-22 02:00,7,6
2026-04-22 03:00,8,5
2026-04-22 04:00,7,5
2026-04-22 05:00,7,5
2026-04-22 06:00,9,5
2026-04-22 07:00,16,8
2026-04-22 08:00,21,8
2026-04-22 09:00,16,8
2026-04-22 10:00,14,9
2026-04-22 11:00,12,8
2026-04-22 12:00,11,6
2026-04-22 13:00,12,6
2026-04-22 14:00,11,6
2026-04-22 15:00,10,6
2026-04-22 16:00,10,6
2026-04-22 17:00,10,5
2026-04-22 18:00,10,5
2026-04-22 19:00,10,5
2026-04-22 20:00,12,6
2026-04-22 21:00,12,7
2026-04-22 22:00,12,9
2026-04-22 23:00,18,12
2026-04-23 00:00,19,12
2026-04-23 01:00,16,12
2026-04-23 02:00,14,11
2026-04-23 03:00,11,9
2026-04-23 04:00,12,9
2026-04-23 05:00,11,9
2026-04-23 06:00,16,10
2026-04-23 07:00,22,13
2026-04-23 08:00,18,12
2026-04-23 09:00,17,10
2026-04-23 10:00,21,10
2026-04-23 11:00,17,9
2026-04-23 12:00,10,6
2026-04-23 13:00,7,4
2026-04-23 14:00,9,4
2026-04-23 15:00,9,3
2026-04-23 16:00,7,3
2026-04-23 17:00,7,3
2026-04-23 18:00,10,3
2026-04-23 19:00,17,4
2026-04-23 20:00,22,6
2026-04-23 21:00,17,8
2026-04-23 22:00,18,10
2026-04-23 23:00,17,10
2026-04-24 00:00,15,10
2026-04-24 01:00,14,10
2026-04-24 02:00,16,11
2026-04-24 03:00,14,10
2026-04-24 04:00,14,9
2026-04-24 05:00,13,9
2026-04-24 06:00,14,10
2026-04-24 07:00,24,13
2026-04-24 08:00,25,14
2026-04-24 09:00,31,14
2026-04-24 10:00,34,15
2026-04-24 11:00,27,13
2026-04-24 12:00,19,9
2026-04-24 13:00,11,6
2026-04-24 14:00,9,4
2026-04-24 15:00,9,4
2026-04-24 16:00,18,6
2026-04-24 17:00,28,8
2026-04-24 18:00,32,8
2026-04-24 19:00,30,8
2026-04-24 20:00,33,9
2026-04-24 21:00,25,9
2026-04-24 22:00,15,8
2026-04-24 23:00,13,8
2026-04-25 00:00,14,9
2026-04-25 01:00,15,10
2026-04-25 02:00,15,11
2026-04-25 03:00,19,11
2026-04-25 04:00,15,10
2026-04-25 05:00,14,10
2026-04-25 06:00,17,11
2026-04-25 07:00,16,10
2026-04-25 08:00,17,11
2026-04-25 09:00,15,10
2026-04-25 10:00,18,11
2026-04-25 11:00,17,10
2026-04-25 12:00,15,8
2026-04-25 13:00,12,6
2026-04-25 14:00,12,5
2026-04-25 15:00,12,6
2026-04-25 16:00,13,7
2026-04-25 17:00,15,7
2026-04-25 18:00,35,11
2026-04-25 19:00,33,10
2026-04-25 20:00,22,8
2026-04-25 21:00,14,8
2026-04-25 22:00,12,7
2026-04-25 23:00,11,7
2026-04-26 00:00,12,7
2026-04-26 01:00,11,7
2026-04-26 02:00,11,7
2026-04-26 03:00,11,7
2026-04-26 04:00,12,8
2026-04-26 05:00,12,8
2026-04-26 06:00,11,8
2026-04-26 07:00,12,9
2026-04-26 08:00,13,9
2026-04-26 09:00,15,10
2026-04-26 10:00,12,8
2026-04-26 11:00,13,7
2026-04-26 12:00,14,7
2026-04-26 13:00,10,5
2026-04-26 14:00,8,4
2026-04-26 15:00,7,4
2026-04-26 16:00,8,4
2026-04-26 17:00,7,3
2026-04-26 18:00,7,3
2026-04-26 19:00,10,4
2026-04-26 20:00,14,5
2026-04-26 21:00,12,5
2026-04-26 22:00,20,6
2026-04-26 23:00,16,6
2026-04-27 00:00,12,5
2026-04-27 01:00,9,5
2026-04-27 02:00,9,5
2026-04-27 03:00,9,5
2026-04-27 04:00,10,5
2026-04-27 05:00,9,5
2026-04-27 06:00,11,5
2026-04-27 07:00,12,6
2026-04-27 08:00,19,10
2026-04-27 09:00,13,6
2026-04-27 10:00,10,5
2026-04-27 11:00,10,4
2026-04-27 12:00,9,4
2026-04-27 13:00,9,3
2026-04-27 14:00,9,4
2026-04-27 15:00,11,4
2026-04-27 16:00,9,4
2026-04-27 17:00,10,4
2026-04-27 18:00,10,4
2026-04-27 19:00,11,4
2026-04-27 20:00,12,4
2026-04-27 21:00,11,5
2026-04-27 22:00,12,5
2026-04-27 23:00,12,6
2026-04-28 00:00,12,7
2026-04-28 01:00,13,7
2026-04-28 02:00,16,8
2026-04-28 03:00,13,8
2026-04-28 04:00,10,7
2026-04-28 05:00,11,7
2026-04-28 06:00,12,7
2026-04-28 07:00,14,7
2026-04-28 08:00,20,8
2026-04-28 09:00,15,7
2026-04-28 10:00,30,10
2026-04-28 11:00,21,8
2026-04-28 12:00,19,7
2026-04-28 13:00,19,6
2026-04-28 14:00,22,6
2026-04-28 15:00,18,6
2026-04-28 16:00,20,6
2026-04-28 17:00,19,6
2026-04-28 18:00,19,6
2026-04-28 19:00,18,6
2026-04-28 20:00,18,7
2026-04-28 21:00,13,8
